"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -1.50798629044E+001, +0.00000000000E+000
+1.08062500000E+007, -1.50852499066E+001, +0.00000000000E+000
+1.16125000000E+007, -1.50921519386E+001, +0.00000000000E+000
+1.24187500000E+007, -1.50988602368E+001, +0.00000000000E+000
+1.32250000000E+007, -1.51059746951E+001, +0.00000000000E+000
+1.40312500000E+007, -1.51132643894E+001, +0.00000000000E+000
+1.48375000000E+007, -1.51203299374E+001, +0.00000000000E+000
+1.56437500000E+007, -1.51271464281E+001, +0.00000000000E+000
+1.64500000000E+007, -1.51339000819E+001, +0.00000000000E+000
+1.72562500000E+007, -1.51406204325E+001, +0.00000000000E+000
+1.80625000000E+007, -1.51472951563E+001, +0.00000000000E+000
+1.88687500000E+007, -1.51538547655E+001, +0.00000000000E+000
+1.96750000000E+007, -1.51603090909E+001, +0.00000000000E+000
+2.04812500000E+007, -1.51668939879E+001, +0.00000000000E+000
+2.12875000000E+007, -1.51734124229E+001, +0.00000000000E+000
+2.20937500000E+007, -1.51798920623E+001, +0.00000000000E+000
+2.29000000000E+007, -1.51863923639E+001, +0.00000000000E+000
+2.37062500000E+007, -1.51927792535E+001, +0.00000000000E+000
+2.45125000000E+007, -1.51991555423E+001, +0.00000000000E+000
+2.53187500000E+007, -1.52055049544E+001, +0.00000000000E+000
+2.61250000000E+007, -1.52115904830E+001, +0.00000000000E+000
+2.69312500000E+007, -1.52177521441E+001, +0.00000000000E+000
+2.77375000000E+007, -1.52237756117E+001, +0.00000000000E+000
+2.85437500000E+007, -1.52295731802E+001, +0.00000000000E+000
+2.93500000000E+007, -1.52354380620E+001, +0.00000000000E+000
+3.01562500000E+007, -1.52412196878E+001, +0.00000000000E+000
+3.09625000000E+007, -1.52470921204E+001, +0.00000000000E+000
+3.17687500000E+007, -1.52528558277E+001, +0.00000000000E+000
+3.25750000000E+007, -1.52585149581E+001, +0.00000000000E+000
+3.33812500000E+007, -1.52641639948E+001, +0.00000000000E+000
+3.41875000000E+007, -1.52698708291E+001, +0.00000000000E+000
+3.49937500000E+007, -1.52753091594E+001, +0.00000000000E+000
+3.58000000000E+007, -1.52806760909E+001, +0.00000000000E+000
+3.66062500000E+007, -1.52860885148E+001, +0.00000000000E+000
+3.74125000000E+007, -1.52914686388E+001, +0.00000000000E+000
+3.82187500000E+007, -1.52967836401E+001, +0.00000000000E+000
+3.90250000000E+007, -1.53020018122E+001, +0.00000000000E+000
+3.98312500000E+007, -1.53073674646E+001, +0.00000000000E+000
+4.06375000000E+007, -1.53125983582E+001, +0.00000000000E+000
+4.14437500000E+007, -1.53178659760E+001, +0.00000000000E+000
+4.22500000000E+007, -1.53230265404E+001, +0.00000000000E+000
+4.30562500000E+007, -1.53281464631E+001, +0.00000000000E+000
+4.38625000000E+007, -1.53332949492E+001, +0.00000000000E+000
+4.46687500000E+007, -1.53383410817E+001, +0.00000000000E+000
+4.54750000000E+007, -1.53433914773E+001, +0.00000000000E+000
+4.62812500000E+007, -1.53485141922E+001, +0.00000000000E+000
+4.70875000000E+007, -1.53535932563E+001, +0.00000000000E+000
+4.78937500000E+007, -1.53587180878E+001, +0.00000000000E+000
+4.87000000000E+007, -1.53638456570E+001, +0.00000000000E+000
+4.95062500000E+007, -1.53688518488E+001, +0.00000000000E+000
+5.03125000000E+007, -1.53739245943E+001, +0.00000000000E+000
+5.11187500000E+007, -1.53787676584E+001, +0.00000000000E+000
+5.19250000000E+007, -1.53836744700E+001, +0.00000000000E+000
+5.27312500000E+007, -1.53885160734E+001, +0.00000000000E+000
+5.35375000000E+007, -1.53933711598E+001, +0.00000000000E+000
+5.43437500000E+007, -1.53980848889E+001, +0.00000000000E+000
+5.51500000000E+007, -1.54028275261E+001, +0.00000000000E+000
+5.59562500000E+007, -1.54075348472E+001, +0.00000000000E+000
+5.67625000000E+007, -1.54121334948E+001, +0.00000000000E+000
+5.75687500000E+007, -1.54167819724E+001, +0.00000000000E+000
+5.83750000000E+007, -1.54213502832E+001, +0.00000000000E+000
+5.91812500000E+007, -1.54260512131E+001, +0.00000000000E+000
+5.99875000000E+007, -1.54305976765E+001, +0.00000000000E+000
+6.07937500000E+007, -1.54350529591E+001, +0.00000000000E+000
+6.16000000000E+007, -1.54395149239E+001, +0.00000000000E+000
+6.24062500000E+007, -1.54439110813E+001, +0.00000000000E+000
+6.32125000000E+007, -1.54482606704E+001, +0.00000000000E+000
+6.40187500000E+007, -1.54526353138E+001, +0.00000000000E+000
+6.48250000000E+007, -1.54569321166E+001, +0.00000000000E+000
+6.56312500000E+007, -1.54611750140E+001, +0.00000000000E+000
+6.64375000000E+007, -1.54653846169E+001, +0.00000000000E+000
+6.72437500000E+007, -1.54694487994E+001, +0.00000000000E+000
+6.80500000000E+007, -1.54734276100E+001, +0.00000000000E+000
+6.88562500000E+007, -1.54774221311E+001, +0.00000000000E+000
+6.96625000000E+007, -1.54813832627E+001, +0.00000000000E+000
+7.04687500000E+007, -1.54853107884E+001, +0.00000000000E+000
+7.12750000000E+007, -1.54891583324E+001, +0.00000000000E+000
+7.20812500000E+007, -1.54929802536E+001, +0.00000000000E+000
+7.28875000000E+007, -1.54968295313E+001, +0.00000000000E+000
+7.36937500000E+007, -1.55006445448E+001, +0.00000000000E+000
+7.45000000000E+007, -1.55043981311E+001, +0.00000000000E+000
+7.53062500000E+007, -1.55081357192E+001, +0.00000000000E+000
+7.61125000000E+007, -1.55119658414E+001, +0.00000000000E+000
+7.69187500000E+007, -1.55157311913E+001, +0.00000000000E+000
+7.77250000000E+007, -1.55193967396E+001, +0.00000000000E+000
+7.85312500000E+007, -1.55231230894E+001, +0.00000000000E+000
+7.93375000000E+007, -1.55266353262E+001, +0.00000000000E+000
+8.01437500000E+007, -1.55302242537E+001, +0.00000000000E+000
+8.09500000000E+007, -1.55337721996E+001, +0.00000000000E+000
+8.17562500000E+007, -1.55372787799E+001, +0.00000000000E+000
+8.25625000000E+007, -1.55409077130E+001, +0.00000000000E+000
+8.33687500000E+007, -1.55444643198E+001, +0.00000000000E+000
+8.41750000000E+007, -1.55479297060E+001, +0.00000000000E+000
+8.49812500000E+007, -1.55514183832E+001, +0.00000000000E+000
+8.57875000000E+007, -1.55549813226E+001, +0.00000000000E+000
+8.65937500000E+007, -1.55585742208E+001, +0.00000000000E+000
+8.74000000000E+007, -1.55621105852E+001, +0.00000000000E+000
+8.82062500000E+007, -1.55657129983E+001, +0.00000000000E+000
+8.90125000000E+007, -1.55692255011E+001, +0.00000000000E+000
+8.98187500000E+007, -1.55727115520E+001, +0.00000000000E+000
