"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.04221608785E+001, +0.00000000000E+000
+1.93687500000E+006, -1.01709149751E+001, +0.00000000000E+000
+2.87375000000E+006, -1.00721105449E+001, +0.00000000000E+000
+3.81062500000E+006, -1.00182527186E+001, +0.00000000000E+000
+4.74750000000E+006, -9.98725377270E+000, +0.00000000000E+000
+5.68437500000E+006, -9.96669581176E+000, +0.00000000000E+000
+6.62125000000E+006, -9.95279549066E+000, +0.00000000000E+000
+7.55812500000E+006, -9.94372066929E+000, +0.00000000000E+000
+8.49500000000E+006, -9.93709834468E+000, +0.00000000000E+000
+9.43187500000E+006, -9.93284105504E+000, +0.00000000000E+000
+1.03687500000E+007, -9.93000996968E+000, +0.00000000000E+000
+1.13056250000E+007, -9.92734679621E+000, +0.00000000000E+000
+1.22425000000E+007, -9.92435872597E+000, +0.00000000000E+000
+1.31793750000E+007, -9.90280441942E+000, +0.00000000000E+000
+1.41162500000E+007, -9.89432997408E+000, +0.00000000000E+000
+1.50531250000E+007, -9.88948032318E+000, +0.00000000000E+000
+1.59900000000E+007, -9.88686645421E+000, +0.00000000000E+000
+1.69268750000E+007, -9.88583023003E+000, +0.00000000000E+000
+1.78637500000E+007, -9.88525667419E+000, +0.00000000000E+000
+1.88006250000E+007, -9.88528770990E+000, +0.00000000000E+000
+1.97375000000E+007, -9.88527579451E+000, +0.00000000000E+000
+2.06743750000E+007, -9.88578010741E+000, +0.00000000000E+000
+2.16112500000E+007, -9.88661108468E+000, +0.00000000000E+000
+2.25481250000E+007, -9.88766881424E+000, +0.00000000000E+000
+2.34850000000E+007, -9.88892611992E+000, +0.00000000000E+000
+2.44218750000E+007, -9.89017437115E+000, +0.00000000000E+000
+2.53587500000E+007, -9.89152046136E+000, +0.00000000000E+000
+2.62956250000E+007, -9.89324684429E+000, +0.00000000000E+000
+2.72325000000E+007, -9.89511214822E+000, +0.00000000000E+000
+2.81693750000E+007, -9.89728946911E+000, +0.00000000000E+000
+2.91062500000E+007, -9.89947524549E+000, +0.00000000000E+000
+3.00431250000E+007, -9.90210414138E+000, +0.00000000000E+000
+3.09800000000E+007, -9.90503392494E+000, +0.00000000000E+000
+3.19168750000E+007, -9.90834192451E+000, +0.00000000000E+000
+3.28537500000E+007, -9.91209636205E+000, +0.00000000000E+000
+3.37906250000E+007, -9.91670734506E+000, +0.00000000000E+000
+3.47275000000E+007, -9.92179943969E+000, +0.00000000000E+000
+3.56643750000E+007, -9.92779470465E+000, +0.00000000000E+000
+3.66012500000E+007, -9.93441191660E+000, +0.00000000000E+000
+3.75381250000E+007, -9.94176932029E+000, +0.00000000000E+000
+3.84750000000E+007, -9.94970783508E+000, +0.00000000000E+000
+3.94118750000E+007, -9.95816475207E+000, +0.00000000000E+000
+4.03487500000E+007, -9.96689042716E+000, +0.00000000000E+000
+4.12856250000E+007, -9.97582226326E+000, +0.00000000000E+000
+4.22225000000E+007, -9.98510334628E+000, +0.00000000000E+000
+4.31593750000E+007, -9.99450187080E+000, +0.00000000000E+000
+4.40962500000E+007, -1.00039689778E+001, +0.00000000000E+000
+4.50331250000E+007, -1.00136348789E+001, +0.00000000000E+000
+4.59700000000E+007, -1.00231903390E+001, +0.00000000000E+000
+4.69068750000E+007, -1.00329081723E+001, +0.00000000000E+000
+4.78437500000E+007, -1.00426453128E+001, +0.00000000000E+000
+4.87806250000E+007, -1.00524388306E+001, +0.00000000000E+000
+4.97175000000E+007, -1.00620636489E+001, +0.00000000000E+000
+5.06543750000E+007, -1.00716853731E+001, +0.00000000000E+000
+5.15912500000E+007, -1.00810241963E+001, +0.00000000000E+000
+5.25281250000E+007, -1.00902540253E+001, +0.00000000000E+000
+5.34650000000E+007, -1.00992980944E+001, +0.00000000000E+000
+5.44018750000E+007, -1.01081029178E+001, +0.00000000000E+000
+5.53387500000E+007, -1.01164675413E+001, +0.00000000000E+000
+5.62756250000E+007, -1.01247405678E+001, +0.00000000000E+000
+5.72125000000E+007, -1.01325603929E+001, +0.00000000000E+000
+5.81493750000E+007, -1.01401816959E+001, +0.00000000000E+000
+5.90862500000E+007, -1.01474248368E+001, +0.00000000000E+000
+6.00231250000E+007, -1.01542305746E+001, +0.00000000000E+000
+6.09600000000E+007, -1.01605920481E+001, +0.00000000000E+000
+6.18968750000E+007, -1.01667281759E+001, +0.00000000000E+000
+6.28337500000E+007, -1.01725277141E+001, +0.00000000000E+000
+6.37706250000E+007, -1.01780248498E+001, +0.00000000000E+000
+6.47075000000E+007, -1.01835485839E+001, +0.00000000000E+000
+6.56443750000E+007, -1.01888678973E+001, +0.00000000000E+000
+6.65812500000E+007, -1.01939559475E+001, +0.00000000000E+000
+6.75181250000E+007, -1.01989366694E+001, +0.00000000000E+000
+6.84550000000E+007, -1.02035467135E+001, +0.00000000000E+000
+6.93918750000E+007, -1.02080217189E+001, +0.00000000000E+000
+7.03287500000E+007, -1.02122925000E+001, +0.00000000000E+000
+7.12656250000E+007, -1.02165400332E+001, +0.00000000000E+000
+7.22025000000E+007, -1.02204526605E+001, +0.00000000000E+000
+7.31393750000E+007, -1.02241072308E+001, +0.00000000000E+000
